price,date,product,market,measurement
950.0,2019-01-02,"Altan Taria Flour, First Grade",Bars,kilogram
1100.0,2019-01-02,"Altan Taria Flour, First Grade",Bayanzurkh,kilogram
1000.0,2019-01-02,"Altan Taria Flour, First Grade",Bumbugur,kilogram
1080.0,2019-01-02,"Altan Taria Flour, First Grade",Emart,kilogram
1100.0,2019-01-02,"Altan Taria Flour, First Grade",Kharkhorin,kilogram
1050.0,2019-01-02,"Altan Taria Flour, First Grade",Khuchit Shonkhor,kilogram
1012.0,2019-01-02,"Altan Taria Flour, First Grade",Max/M Mart,kilogram
1010.0,2019-01-02,"Altan Taria Flour, First Grade",Nomin,kilogram
1075.0,2019-01-02,"Altan Taria Flour, First Grade",Orgil,kilogram
1160.0,2019-01-02,"Altan Taria Flour, First Grade",Sansar,kilogram
1100.0,2019-01-02,"Altan Taria Flour, First Grade",Tavan Erdene,kilogram
1250.0,2019-01-02,"Altan Taria Flour, High Grade",Bars,kilogram
1400.0,2019-01-02,"Altan Taria Flour, High Grade",Bayanzurkh,kilogram
1250.0,2019-01-02,"Altan Taria Flour, High Grade",Bumbugur,kilogram
1448.0,2019-01-02,"Altan Taria Flour, High Grade",Emart,kilogram
1300.0,2019-01-02,"Altan Taria Flour, High Grade",Kharkhorin,kilogram
1300.0,2019-01-02,"Altan Taria Flour, High Grade",Khuchit Shonkhor,kilogram
1410.0,2019-01-02,"Altan Taria Flour, High Grade",Max/M Mart,kilogram
1400.0,2019-01-02,"Altan Taria Flour, High Grade",Nomin,kilogram
1420.0,2019-01-02,"Altan Taria Flour, High Grade",Orgil,kilogram
1310.0,2019-01-02,"Altan Taria Flour, High Grade",Sansar,kilogram
1300.0,2019-01-02,"Altan Taria Flour, High Grade",Tavan Erdene,kilogram
1000.0,2019-01-02,"Altan Taria Packaged Flour, 1st Grade",Bars,kilogram
1100.0,2019-01-02,"Altan Taria Packaged Flour, 1st Grade",Bayanzurkh,kilogram
1000.0,2019-01-02,"Altan Taria Packaged Flour, 1st Grade",Bumbugur,kilogram
1100.0,2019-01-02,"Altan Taria Packaged Flour, 1st Grade",Emart,kilogram
1150.0,2019-01-02,"Altan Taria Packaged Flour, 1st Grade",Kharkhorin,kilogram
1100.0,2019-01-02,"Altan Taria Packaged Flour, 1st Grade",Khuchit Shonkhor,kilogram
1040.0,2019-01-02,"Altan Taria Packaged Flour, 1st Grade",Max/M Mart,kilogram
1200.0,2019-01-02,"Altan Taria Packaged Flour, 1st Grade",Mercury/Ikh Nayad,kilogram
1069.0,2019-01-02,"Altan Taria Packaged Flour, 1st Grade",Nomin,kilogram
1110.0,2019-01-02,"Altan Taria Packaged Flour, 1st Grade",Orgil,kilogram
1090.0,2019-01-02,"Altan Taria Packaged Flour, 1st Grade",Sansar,kilogram
1100.0,2019-01-02,"Altan Taria Packaged Flour, 1st Grade",Tavan Erdene,kilogram
800.0,2019-01-02,"Altan Taria Packaged Flour, 2nd Grade",Bars,kilogram
900.0,2019-01-02,"Altan Taria Packaged Flour, 2nd Grade",Bayanzurkh,kilogram
850.0,2019-01-02,"Altan Taria Packaged Flour, 2nd Grade",Bumbugur,kilogram
