item_id,name,category,price,old_price,sellable_online,other_colors,short_description
90420332.0,FREKVENS,Bar furniture,265.0,No old price,True,No,"        Bar table, in/outdoor,          51x51 cm"
368814.0,NORDVIKEN,Bar furniture,995.0,No old price,False,No,"        Bar table,          140x80 cm"
9333523.0,NORDVIKEN / NORDVIKEN,Bar furniture,2095.0,No old price,False,No,        Bar table and 4 bar stools
80155205.0,STIG,Bar furniture,69.0,No old price,True,Yes,"        Bar stool with backrest,          74 cm"
30180504.0,NORBERG,Bar furniture,225.0,No old price,True,No,"        Wall-mounted drop-leaf table,          74x60 cm"
10122647.0,INGOLF,Bar furniture,345.0,No old price,True,No,"        Bar stool with backrest,          63 cm"
70404875.0,FRANKLIN,Bar furniture,129.0,No old price,True,No,"        Bar stool with backrest, foldable,          63 cm"
60155602.0,DALFRED,Bar furniture,195.0,No old price,True,No,"        Bar stool,          63-74 cm"
50406465.0,FRANKLIN,Bar furniture,129.0,No old price,True,No,"        Bar stool with backrest, foldable,          63 cm"
69304221.0,EKEDALEN / EKEDALEN,Bar furniture,2176.0,"SR 2,375",True,No,        Bar table and 4 bar stools
90404879.0,FRANKLIN,Bar furniture,149.0,No old price,True,No,"        Bar stool with backrest, foldable,          74 cm"
121766.0,INGOLF,Bar furniture,395.0,No old price,True,No,"        Bar stool with backrest,          74 cm"
397736.0,NORRARYD,Bar furniture,395.0,No old price,True,No,"        Bar stool with backrest,          74 cm"
50420329.0,FREKVENS,Bar furniture,177.0,SR 295,True,No,"        Bar stool with backrest, in/outdoor,          74 cm"
400550.0,EKEDALEN,Bar furniture,345.0,No old price,True,No,"        Bar stool with backrest,          75 cm"
29304826.0,TOMMARYD,Bar furniture,695.0,No old price,True,No,"        Table,          130x70/105 cm"
40426138.0,HENRIKSDAL,Bar furniture,395.0,No old price,True,No,"        Bar stool with backrest frame,          74 cm"
50363649.0,KULLABERG,Bar furniture,140.0,SR 175,True,Yes,        Stool
70246089.0,JANINGE,Bar furniture,595.0,No old price,True,No,"        Bar stool,          76 cm"
60406785.0,FRANKLIN,Bar furniture,149.0,No old price,True,No,"        Bar stool with backrest, foldable,          74 cm"
340759.0,EKEDALEN,Bar furniture,995.0,No old price,True,No,"        Bar table,          120x80 cm"
30352246.0,RÅSKOG,Bar furniture,175.0,No old price,True,No,"        Bar stool,          63 cm"
10281354.0,JANINGE,Bar furniture,595.0,No old price,True,No,"        Bar stool,          76 cm"
90400517.0,EKEDALEN,Bar furniture,796.0,SR 995,True,No,"        Bar table,          120x80 cm"
400545.0,EKEDALEN,Bar furniture,345.0,No old price,True,No,"        Bar stool with backrest,          75 cm"
10400540.0,EKEDALEN,Bar furniture,345.0,No old price,True,No,"        Bar stool with backrest,          75 cm"
40400529.0,EKEDALEN,Bar furniture,796.0,SR 995,True,No,"        Bar table,          120x80 cm"
90319918.0,HENRIKSDAL,Bar furniture,695.0,No old price,True,No,"        Bar stool with backrest,          74 cm"
29297227.0,STENSELE / NORRARYD,Bar furniture,1340.0,No old price,True,No,        Bar table and 2 bar stools
99323925.0,STENSELE,Bar furniture,550.0,No old price,True,No,"        Bar table,          70x70 cm"
40339004.0,NORRÅKER,Bar furniture,595.0,No old price,True,Yes,"        Bar table,          74x74 cm"
39184324.0,HENRIKSDAL,Bar furniture,435.0,No old price,True,No,"        Bar stool with backrest,          74 cm"
19297275.0,NORRÅKER / NORRÅKER,Bar furniture,1266.0,"SR 1,385",True,No,"        Bar table and 2 bar stools,          74 cm"
60400745.0,YNGVAR,Bar furniture,475.0,No old price,True,No,"        Bar stool,          75 cm"
20336619.0,HENRIKSDAL,Bar furniture,40.0,No old price,True,No,        Cover for bar stool with backrest
20429010.0,NORRÅKER,Bar furniture,395.0,No old price,True,Yes,"        Bar stool with backrest,          74 cm"
80369112.0,NORDVIKEN,Bar furniture,275.0,No old price,False,No,"        Bar stool with backrest,          75 cm"
